id,name,category,serving_size,calories,carbohydrates,protein,fat,fiber,sugar,sodium,potassium,glycemic_index,diabetes_rating,notes
236,Chicken Sausage,Western,2 pieces,260,8,16,19,1,3,850,220,25,Moderate,"Processed meat, watch sodium."
237,Turkey Ham Sandwich,Western,1 sandwich,370,40,22,13,4,5,980,330,62,Moderate,Processed meat sandwich.
238,Oatmeal Plain,Breakfast,1 bowl,210,36,8,4,6,1,80,280,55,Moderate,High fiber breakfast carb.
239,Oatmeal Banana,Breakfast,1 bowl,320,62,10,5,8,18,90,620,58,Moderate,Oats with fruit sugar.
240,Greek Yogurt Plain,Breakfast,1 cup,140,9,18,4,0,6,80,250,35,Suitable,Protein-rich yogurt.
241,Yogurt Sweetened,Breakfast,1 cup,210,34,10,4,0,26,110,300,55,Limit,"Sweetened yogurt, higher sugar."
242,Granola Bowl,Breakfast,1 bowl,430,64,12,15,7,22,180,420,60,Limit,Often high carbohydrate and sugar.
243,Cornflakes Milk,Breakfast,1 bowl,300,58,9,5,2,20,360,350,80,Limit,Refined cereal with milk.
244,Lontong,Rice Dish,1 bowl,520,70,15,20,7,7,900,520,70,Limit,Compressed rice with coconut vegetable gravy.
245,Ketupat with Rendang,Rice Dish,1 serving,620,76,24,24,4,5,880,430,73,Limit,Rice cakes with rendang.
246,Lemang,Rice Dish,3 slices,360,52,6,14,2,2,240,160,74,Limit,Glutinous rice cooked with coconut milk.
247,Lemang with Rendang,Rice Dish,1 serving,680,70,28,34,4,4,900,460,74,Limit,High carb and high fat festive meal.
248,Soto Ayam,Noodle Dish,1 bowl,480,60,26,15,4,4,980,430,68,Moderate,Soup with nasi impit or noodles.
249,Soto Nasi Impit,Rice Dish,1 bowl,520,70,22,15,4,4,980,420,72,Limit,Rice cake soup meal.
250,Nasi Impit Kuah Kacang,Rice Dish,1 serving,560,76,16,20,5,10,740,420,72,Limit,Rice cake with peanut sauce.
